BEGINN_DATUM;BEGINN_UHRZEIT;ENDE_DATUM;ENDE_UHRZEIT;NETZREGION;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE
31.12.2014;00:00;01.01.2015;00:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;121;200;2900;TransnetBW;TenneT DE;Grosskraftwerk Mannheim AG 
31.12.2014;00:00;01.01.2015;00:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;103;125;2475;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
31.12.2014;00:00;01.01.2015;00:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;103;125;2475;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
31.12.2014;06:00;01.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;235;300;4225;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
31.12.2014;22:00;01.01.2015;00:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;50;50;100;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
01.01.2015;00:00;02.01.2015;00:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;346;400;8300;TransnetBW;TenneT DE;Grosskraftwerk Mannheim AG 
01.01.2015;00:00;01.01.2015;01:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;50;50;50;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
01.01.2015;00:00;02.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;579;1350;13901;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Schkopau, Schwarze Pumpe
01.01.2015;00:00;01.01.2015;01:15;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;254;300;318;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
01.01.2015;00:00;01.01.2015;01:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;82;100;82;TenneT DE;50Hertz & TenneT DE;Zolling 5
01.01.2015;03:00;01.01.2015;04:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;50;50;50;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau 
01.01.2015;11:00;01.01.2015;14:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;50;50;150;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau 
01.01.2015;11:00;02.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;228;300;2966;TenneT DE;50Hertz & TenneT DE;Zolling 5
01.01.2015;13:00;01.01.2015;16:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;200;200;600;50Hertz;50Hertz & PSE;Jaenschwalde, Schwarze Pumpe
01.01.2015;15:15;02.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;225;430;1971;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
01.01.2015;17:00;01.01.2015;19:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;50;50;100;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau 
01.01.2015;18:00;02.01.2015;00:00;Grenzregion RZ 50Hertz - RZ CEPS;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;155;200;930;50Hertz;CEPS;Moorburg
01.01.2015;20:00;02.01.2015;00:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;167;194;670;50Hertz;50Hertz & PSE;Boxberg
01.01.2015;20:00;01.01.2015;21:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;175;200;175;TenneT DE;TenneT DE;Gebersdorf 2
01.01.2015;21:00;02.01.2015;00:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;50;50;150;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau 
02.01.2015;00:00;02.01.2015;03:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;150;250;450;TransnetBW;TenneT DE;Grosskraftwerk Mannheim AG 
02.01.2015;00:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;223;300;5350;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau 
02.01.2015;00:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;158;250;3782;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
02.01.2015;00:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;237;300;5682;TenneT DE;50Hertz & TenneT DE;Zolling 5
02.01.2015;00:00;02.01.2015;07:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;145;145;1015;TenneT DE;50Hertz & TenneT DE;Isar 2 (SWM)
02.01.2015;04:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;230;250;4600;TransnetBW;TenneT DE;Grosskraftwerk Mannheim AG 
02.01.2015;05:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;531;740;10092;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
02.01.2015;05:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;321;400;6100;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau 
02.01.2015;06:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1327;1676;23894;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Moorburg, Schkopau, Schwarze Pumpe
02.01.2015;07:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;882;882;14994;50Hertz;50Hertz & TenneT DE;Lippendorf
02.01.2015;07:00;02.01.2015;08:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;60;60;60;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
02.01.2015;07:00;02.01.2015;08:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;60;60;60;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
02.01.2015;07:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;300;300;5100;TransnetBW;TenneT DE;Rheinhafen-Dampfkraftwerk Karlsruhe
02.01.2015;08:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;114;120;1830;TransnetBW;50Hertz & TenneT DE;Heizkraftwerk Heilbronn
02.01.2015;08:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;114;120;1830;TransnetBW;50Hertz & TenneT DE;Kraftwerk Lippendorf
02.01.2015;08:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;114;120;1830;TransnetBW;50Hertz & TenneT DE;Heizkraftwerk Heilbronn
02.01.2015;08:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;114;120;1830;TransnetBW;50Hertz & TenneT DE;Kraftwerk Lippendorf
02.01.2015;08:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;408;642;6526;TransnetBW;50Hertz & TenneT DE;Kraftwerk Lippendorf
02.01.2015;11:00;02.01.2015;18:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;139;260;970;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
02.01.2015;11:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;42;42;546;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
02.01.2015;16:00;02.01.2015;23:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;134;243;998;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Moorburg, Schkopau, Schwarze Pumpe
02.01.2015;23:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;120;120;120;TransnetBW;50Hertz & TenneT DE;Heizkraftwerk Heilbronn
02.01.2015;23:00;03.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;120;120;120;TransnetBW;50Hertz & TenneT DE;Kraftwerk Lippendorf
03.01.2015;00:00;03.01.2015;13:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;250;250;3250;TransnetBW;50Hertz;Grosskraftwerk Mannheim AG 
03.01.2015;00:00;03.01.2015;13:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;250;250;3250;TransnetBW;50Hertz;Kraftwerk Lippendorf
03.01.2015;00:00;03.01.2015;13:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;331;632;4306;TransnetBW;50Hertz;Heizkraftwerk Heilbronn
03.01.2015;00:00;03.01.2015;13:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;331;632;4306;TransnetBW;50Hertz;Kraftwerk Lippendorf
03.01.2015;00:00;03.01.2015;02:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;275;300;550;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
03.01.2015;00:00;03.01.2015;01:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;275;300;275;TransnetBW;TenneT DE;Rheinhafen-Dampfkraftwerk Karlsruhe
03.01.2015;00:00;03.01.2015;00:15;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;50;50;13;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
03.01.2015;00:00;04.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1281;2300;30750;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Lippendorf, Moorburg, Schkopau, Schwarze Pumpe
03.01.2015;00:00;03.01.2015;13:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;882;882;11466;50Hertz;50Hertz & TenneT DE;Lippendorf
03.01.2015;00:00;03.01.2015;22:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;219;400;4828;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
03.01.2015;00:00;03.01.2015;15:30;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;246;350;3810;TenneT DE;50Hertz & TenneT DE;Zolling 5
03.01.2015;08:00;03.01.2015;09:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;84;84;84;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
03.01.2015;08:00;03.01.2015;09:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;66;66;66;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
