;name;latitude;longitude
0;ADS-Anlage;50.0918;8.5311
1;ANeunkirchen;49.3386;7.17
2;AMK - Abfallentsorgungsgesellschaft des MÃ¤rkischen Kreises mbH;51.3971;7.6967
3;AVA GmbH;48.4011;10.9356
4;AVA Velsen;49.2139;6.8345
5;Abfallentsorgungszentrum Asdonkshof;51.5224;6.5747
6;Ahrensfelde;52.5895;13.5587
7;Altbach;48.7176;9.3749
8;Altheim;51.5365;14.3829
9;Alzwerke GmbH;48.1769;12.8405
10;Audorf;54.2907;9.7228
11;Aufkirchen;48.3067;11.8588
12;BEG;53.5478;8.6179
13;BHKW;49.0475;8.2816
14;BH.120;51.2545;6.7865
15;BLudwigshafen;49.4531;8.4336
16;BObere Viehweide;48.5109;9.0715
17;Ban Klinkerweg;51.2169;6.9473
18;BHKW-HauffstraÃe;48.4939;9.1856
19;BKF;50.1294;8.7679
20;BMHKW-BinderHolz;48.7912;11.5068
21;BMHKW-RE Recklinghausen;51.604;7.2508
22;BMK LÃ¼nen;51.614;7.4813
23;BMKW Bergkamen;51.637;7.6188
24;BMKW FlÃ¶rsheim Wicker;50.0226;8.3772
25;BMKW KÃ¶nigs Wusterhausen;52.3048;13.636
26;BMKW Mannheim;49.5164;8.4602
27;BP Werk Lingen;52.5606;7.2952
28;BROKDORF;53.8506;9.345
29;Bergheim;48.7508;11.2732
30;Bergkamen;51.637;7.6191
31;Berlin-Moabit;52.5374;13.3461
32;Berlin-Reuter;52.5321;13.2461
33;Berlin-Reuter-West;52.5351;13.2426
34;Bertoldsheim;48.7359;11.0209
35;Bigge;51.0932;7.8627
36;Bio Herbrechtingen;48.6285;10.2009
37;BioEnergie Park Klarsee;53.3;14.25
38;BioI;48.397;9.9648
39;Biomass Generator #10;50.4978;11.6562
40;Biomass Generator #11;53.6183;10.2244
41;Biomass Generator #12;49.6552;8.3659
42;Biomass Generator #13;49.6552;8.3659
43;Biomass Generator #14;51.5439;7.4388
44;Biomass Generator #15;49.5154;9.3252
45;Biomass Generator #16;51.9201;11.8018
46;Biomass Generator #17;51.5152;12.3248
47;Biomass Generator #19;52.8515;13.7781
48;Biomass Generator #2;48.6283;10.2008
49;Biomass Generator #20;49.8587;7.8857
50;Biomass Generator #20;51.4662;13.5046
51;Biomass Generator #21;52.1827;14.2584
52;Biomass Generator #22;51.4901;10.4129
53;Biomass Generator #23;51.8554;6.8887
54;Biomass Generator #3;53.1511;12.3771
55;Biomass Generator #4;51.8848;8.9567
56;Biomass Generator #5;49.9713;8.0606
57;Biomass Generator #6;48.4933;11.1766
58;Biomass Generator #7;51.205;6.7085
59;Biomass Generator #8;50.7021;8.0732
60;Biomass Generator #9;49.0115;9.6718
61;Biomasse-Malchin;53.7419;12.783
62;Biomasse-Verstromungs-Anlage;51.35;7.45
63;Biomasseheizkraftwerk Piesteritz;51.8712;12.6185
64;Biomasseheizkraftwerk Wiesbaden;50.0833;8.25
65;Biomassekraftwerk Bischofferode;51.4899;10.4131
66;Bittenbrunn;48.7345;11.1438
67;Bleiloch;50.5244;11.7144
68;Blockheizkraftwerk 1;49.9882;9.1558
69;BoA 2;51.0365;6.6133
70;Bochum;51.4833;7.2167
71;Boxberg;51.4163;14.5619
72;Braunau-Simbach;48.0638;10.1284
73;Braunkohlekraftwerk Lippendorf;51.1821;12.3733
74;Bremen-Farge;53.2021;8.5162
75;BrunsbÃ¼ttel;53.8925;9.2011
76;Buer;51.6028;7.0094
77;Buschhaus;52.1724;10.9768
78;Charlottenburg;52.5219;13.3111
79;Chemiepark Marl;51.6846;7.1
80;Chemnitz Nord;50.857;12.9231
81;Co-Generation;49.6633;8.3589
82;Coal Plant #1;51.0489;12.1104
83;Coal Plant #2;48.5272;8.0868
84;Cologne-Merkenich;51.0178;6.9643
85;Cottbus CHP;51.7602;14.37
86;DK Kraftwerk;51.4191;6.7385
87;DKW Leinau;47.9125;10.6117
88;DKW Nord;48.0627;10.4866
89;DT;51.2228;6.8137
90;Dampfkraftwerk BGH - O1;48.1835;12.8531
91;Dampfturbinenanlage der EBS-Kessel;51.8026;11.7515
92;Dessau;47.7393;10.8257
93;Dessau;51.8269;12.23
94;Dettingen;48.5275;9.3488
95;Detzem;49.8109;6.8439
96;Deuben;51.1119;12.0762
97;Dingolfing;48.634;12.4837
98;Dormagen;51.0791;6.8287
99;Dornau;47.8002;10.9026
100;Dortmund;51.5197;7.477
101;Dow Stade;53.6519;9.5079
102;Duisburg Hamborn;51.491;6.7275
103;Duisburg Ruhrort;51.4597;6.7306
104;EBKW Knapsack;50.8577;6.8502
